id,:@computed_region_cbhk_fwbd,name,:@computed_region_nnqa_25f4,fall,geolocation_coordinates_1,geolocation_coordinates_2,geolocation_type,mass,nametype,recclass,reclat,reclong,year
5140,,Brient,,Fell,59.31667,52.13333,Point,219,Valid,Eucrite-pmict,52.133330,59.316670,1933-01-01T00:00:00.000
5156,,Bruderheim,,Fell,-112.88333,53.9,Point,303000,Valid,L6,53.900000,-112.883330,1960-01-01T00:00:00.000
30448,,Bukhara,,Fell,64.60035,39.77978,Point,5300,Valid,CV3,39.779780,64.600350,2001-01-01T00:00:00.000
5163,,Bulls Run,,Fell,,,,2250,Valid,Iron?,,,1964-01-01T00:00:00.000
48653,,Bunburra Rockhole,,Fell,129.19,-31.35,Point,324,Valid,Eucrite,-31.350000,129.190000,2007-01-01T00:00:00.000
5165,,Bununu,,Fell,9.58333,10.01667,Point,357,Valid,Howardite,10.016670,9.583330,1942-01-01T00:00:00.000
5169,,Bur-Gheluai,,Fell,48.0,5.0,Point,120000,Valid,H5,5.000000,48.000000,1919-01-01T00:00:00.000
5175,36,Burnwell,256,Fell,-82.23722,37.62194,Point,1504,Valid,H4-an,37.621940,-82.237220,1990-01-01T00:00:00.000
5177,,Bursa,,Fell,29.23333,40.2,Point,25000,Valid,L6,40.200000,29.233330,1946-01-01T00:00:00.000
5178,,Buschhof,,Fell,25.78333,46.45,Point,5000,Valid,L6,46.450000,25.783330,1863-01-01T00:00:00.000
5181,,Bustee,,Fell,82.83333,26.78333,Point,1500,Valid,Aubrite,26.783330,82.833330,1852-01-01T00:00:00.000
5183,,Butsura,,Fell,84.08333,27.08333,Point,29000,Valid,H6,27.083330,84.083330,1861-01-01T00:00:00.000
48654,,Buzzard Coulee,,Fell,-109.84817,52.996,Point,41000,Valid,H4,52.996000,-109.848170,2008-01-01T00:00:00.000
5185,,Cabezo de Mayo,,Fell,-1.16667,37.98333,Point,25000,Valid,L/LL6,37.983330,-1.166670,1870-01-01T00:00:00.000
5186,15,Cabin Creek,1029,Fell,-93.5,35.5,Point,48500,Valid,"Iron, IIIAB",35.500000,-93.500000,1886-01-01T00:00:00.000
5187,,Cacak,,Fell,20.33333,43.83889,Point,212,Valid,OC,43.838890,20.333330,1919-01-01T00:00:00.000
45976,,Cali,,Fell,-76.51,3.405,Point,478,Valid,H/L4,3.405000,-76.510000,2007-01-01T00:00:00.000
5200,,Calivo,,Fell,122.33333,11.75,Point,2400,Valid,Stone-uncl,11.750000,122.333330,1916-01-01T00:00:00.000
5249,,Campos Sales,,Fell,-40.16667,-7.03333,Point,23680,Valid,L5,-7.033330,-40.166670,1991-01-01T00:00:00.000
5250,,Çanakkale,,Fell,26.6,39.8,Point,4000,Valid,L6,39.800000,26.600000,1964-01-01T00:00:00.000
5251,,Cañellas,,Fell,1.66667,41.25,Point,945,Valid,H4,41.250000,1.666670,1861-01-01T00:00:00.000
5252,,Cangas de Onis,,Fell,-5.15,43.38333,Point,34000,Valid,H5,43.383330,-5.150000,1866-01-01T00:00:00.000
5253,9,Canon City,1448,Fell,-105.24139,38.47028,Point,1400,Valid,H6,38.470280,-105.241390,1973-01-01T00:00:00.000
5260,18,Cape Girardeau,2695,Fell,-89.58333,37.26667,Point,2300,Valid,H6,37.266670,-89.583330,1846-01-01T00:00:00.000
5264,,Capilla del Monte,,Fell,-64.55,-30.88333,Point,750,Valid,H6,-30.883330,-64.550000,1934-01-01T00:00:00.000
45817,,Carancas,,Fell,-69.04389,-16.66444,Point,342,Valid,H4-5,-16.664440,-69.043890,2007-01-01T00:00:00.000
5265,,Caratash,,Fell,27.0,38.5,Point,8,Valid,LL6,38.500000,27.000000,1902-01-01T00:00:00.000
5291,37,Castalia,648,Fell,-78.06667,36.08333,Point,7300,Valid,H5,36.083330,-78.066670,1874-01-01T00:00:00.000
5292,,Castel Berardenga,,Fell,11.5,43.35,Point,,Valid,Stone-uncl,43.350000,11.500000,1791-01-01T00:00:00.000
5293,49,Castine,414,Fell,-68.75,44.38333,Point,94,Valid,L6,44.383330,-68.750000,1848-01-01T00:00:00.000
5295,,Castrovillari,,Fell,16.2,39.8,Point,15000,Valid,Stone-uncl,39.800000,16.200000,1583-01-01T00:00:00.000
5296,37,Caswell County,637,Fell,-79.25,36.5,Point,1360,Valid,OC,36.500000,-79.250000,1810-01-01T00:00:00.000
5306,,Ceniceros,,Fell,-105.23333,26.46667,Point,1025,Valid,L3.7,26.466670,-105.233330,1988-01-01T00:00:00.000
5307,21,Centerville,2684,Fell,-96.91667,43.2,Point,45.6,Valid,H5,43.200000,-96.916670,1956-01-01T00:00:00.000
5308,,Cereseto,,Fell,8.3,45.08333,Point,6460,Valid,H5,45.083330,8.300000,1840-01-01T00:00:00.000
5313,,Chadong,,Fell,109.31667,28.53333,Point,3700,Valid,L6,28.533330,109.316670,1998-01-01T00:00:00.000
5314,,Chail,,Fell,81.66667,25.36667,Point,0.5,Valid,H6,25.366670,81.666670,1814-01-01T00:00:00.000
5315,,Chainpur,,Fell,83.48333,25.85,Point,8200,Valid,LL3.4,25.850000,83.483330,1907-01-01T00:00:00.000
5316,,Chajari,,Fell,-58.05,-30.78333,Point,18300,Valid,L5,-30.783330,-58.050000,1933-01-01T00:00:00.000
5320,,Chandakapur,,Fell,76.01667,20.26667,Point,8800,Valid,L5,20.266670,76.016670,1838-01-01T00:00:00.000
5321,,Chandpur,,Fell,79.05,27.28333,Point,1100,Valid,L6,27.283330,79.050000,1885-01-01T00:00:00.000
5322,,Changde,,Fell,111.75,29.08333,Point,1810,Valid,H5,29.083330,111.750000,1977-01-01T00:00:00.000
5325,,Chantonnay,,Fell,1.05,46.68333,Point,31500,Valid,L6,46.683330,1.050000,1812-01-01T00:00:00.000
5328,39,Charlotte,2007,Fell,-87.33333,36.16667,Point,4300,Valid,"Iron, IVA",36.166670,-87.333330,1835-01-01T00:00:00.000
5329,,Charsonville,,Fell,1.56667,47.93333,Point,27000,Valid,H6,47.933330,1.566670,1810-01-01T00:00:00.000
5330,,Charwallas,,Fell,75.5,29.48333,Point,12000,Valid,H6,29.483330,75.500000,1834-01-01T00:00:00.000
5331,,Chassigny,,Fell,5.36667,47.71667,Point,4000,Valid,Martian (chassignite),47.716670,5.366670,1815-01-01T00:00:00.000
5332,,Château-Renard,,Fell,2.91667,47.93333,Point,30000,Valid,L6,47.933330,2.916670,1841-01-01T00:00:00.000
5334,,Chaves,,Fell,-7.46667,41.93333,Point,2945,Valid,Howardite,41.933330,-7.466670,1925-01-01T00:00:00.000
5338,,Chela,,Fell,32.5,-3.66667,Point,2936,Valid,H4,-3.666670,32.500000,1988-01-01T00:00:00.000
57165,,Chelyabinsk,,Fell,61.11667,54.81667,Point,100000,Valid,LL5,54.816670,61.116670,2013-01-01T00:00:00.000
47347,,Chergach ,,Fell,-5.01472,23.69639,Point,100000,Valid,H5,23.696390,-5.014720,2007-01-01T00:00:00.000
5339,,Chernyi Bor,,Fell,30.1,53.7,Point,6000,Valid,H4,53.700000,30.100000,1964-01-01T00:00:00.000
5340,33,Cherokee Springs,2582,Fell,-81.88333,35.03333,Point,8400,Valid,LL6,35.033330,-81.883330,1933-01-01T00:00:00.000
5341,,Chervettaz,,Fell,6.81667,46.55,Point,705,Valid,L5,46.550000,6.816670,1901-01-01T00:00:00.000
5342,,Chervony Kut,,Fell,34.0,50.83333,Point,1700,Valid,Eucrite-mmict,50.833330,34.000000,1939-01-01T00:00:00.000
5344,,Chetrinahatti,,Fell,76.5,14.5,Point,72,Valid,Stone-uncl,14.500000,76.500000,1880-01-01T00:00:00.000
5345,,Chiang Khan,,Fell,101.63333,17.9,Point,367,Valid,H6,17.900000,101.633330,1981-01-01T00:00:00.000
5349,48,Chicora,2459,Fell,-79.73333,40.93333,Point,303,Valid,LL6,40.933330,-79.733330,1938-01-01T00:00:00.000
5355,,Chisenga,,Fell,33.395,-10.05944,Point,3920,Valid,"Iron, IIIAB",-10.059440,33.395000,1988-01-01T00:00:00.000
5356,,Chitado,,Fell,13.96667,-17.35,Point,,Valid,L6,-17.350000,13.966670,1966-01-01T00:00:00.000
5357,,Chitenay,,Fell,0.97667,47.47083,Point,4000,Valid,L6,47.470830,0.976670,1978-01-01T00:00:00.000
5364,,Cilimus,,Fell,108.1,-6.95,Point,1600,Valid,L5,-6.950000,108.100000,1979-01-01T00:00:00.000
5374,31,Claxton,67,Fell,-81.87278,32.1025,Point,1455,Valid,L6,32.102500,-81.872780,1984-01-01T00:00:00.000
5383,,Clohars,,Fell,,,,48.6,Valid,L4,,,1822-01-01T00:00:00.000
5395,41,Colby (Wisconsin),877,Fell,-90.28333,44.9,Point,104000,Valid,L6,44.900000,-90.283330,1917-01-01T00:00:00.000
5397,,Cold Bokkeveld,,Fell,19.38333,-33.13333,Point,5200,Valid,CM2,-33.133330,19.383330,1838-01-01T00:00:00.000
5401,50,Coleman,356,Fell,-84.50778,43.76111,Point,469,Valid,L6,43.761110,-84.507780,1994-01-01T00:00:00.000
5403,,Collescipoli,,Fell,12.61667,42.53333,Point,5000,Valid,H5,42.533330,12.616670,1890-01-01T00:00:00.000
5418,,Conquista,,Fell,-47.55,-19.85,Point,20350,Valid,H4,-19.850000,-47.550000,1965-01-01T00:00:00.000
5451,,Cosina,,Fell,-100.86667,21.16667,Point,1200,Valid,H5,21.166670,-100.866670,1844-01-01T00:00:00.000
5465,,Cranganore,,Fell,76.26667,10.2,Point,1460,Valid,L6,10.200000,76.266670,1917-01-01T00:00:00.000
5470,20,Crescent,2201,Fell,-97.58333,35.95,Point,78.400000000000006,Valid,CM2,35.950000,-97.583330,1936-01-01T00:00:00.000
5474,,Cronstad,,Fell,27.3,-27.7,Point,3650,Valid,H5,-27.700000,27.300000,1877-01-01T00:00:00.000
5476,37,Cross Roads,2332,Fell,-78.13333,35.63333,Point,167,Valid,H5,35.633330,-78.133330,1892-01-01T00:00:00.000
5477,,Crumlin,,Fell,-6.21667,54.61667,Point,4255,Valid,L5,54.616670,-6.216670,1902-01-01T00:00:00.000
5496,36,Cumberland Falls,1426,Fell,-84.35,36.83333,Point,17000,Valid,Aubrite,36.833330,-84.350000,1919-01-01T00:00:00.000
5500,36,Cynthiana,244,Fell,-84.25,38.4,Point,6000,Valid,L/LL4,38.400000,-84.250000,1877-01-01T00:00:00.000
5504,,Dahmani,,Fell,8.83333,35.61667,Point,18000,Valid,LL6,35.616670,8.833330,1981-01-01T00:00:00.000
5511,,Dandapur,,Fell,83.96667,26.91667,Point,5650,Valid,L6,26.916670,83.966670,1878-01-01T00:00:00.000
5513,,Daniel's Kuil,,Fell,24.56667,-28.2,Point,1064,Valid,EL6,-28.200000,24.566670,1868-01-01T00:00:00.000
5514,29,Danville,103,Fell,-87.06667,34.4,Point,2000,Valid,L6,34.400000,-87.066670,1868-01-01T00:00:00.000
6603,,Darmstadt,,Fell,8.65,49.86667,Point,100,Valid,H5,49.866670,8.650000,1804-01-01T00:00:00.000
6604,,Dashoguz,,Fell,59.685,41.98444,Point,7000,Valid,H5,41.984440,59.685000,1998-01-01T00:00:00.000
51559,,Daule,,Fell,-79.95756,-1.87089,Point,6580,Valid,L5,-1.870890,-79.957560,2008-01-01T00:00:00.000
6621,,De Cewsville,,Fell,-80.0,43.0,Point,340,Valid,H6,43.000000,-80.000000,1887-01-01T00:00:00.000
6634,,Deal,2491,Fell,-74.0,40.25,Point,28,Valid,L6,40.250000,-74.000000,1829-01-01T00:00:00.000
6642,,Delhi,,Fell,77.25,28.56667,Point,0.8,Valid,L5,28.566670,77.250000,1897-01-01T00:00:00.000
6649,,Demina,,Fell,84.76667,51.46667,Point,16400,Valid,L6,51.466670,84.766670,1911-01-01T00:00:00.000
6660,9,Denver,1444,Fell,-104.93056,39.7825,Point,230,Valid,L6,39.782500,-104.930560,1967-01-01T00:00:00.000
6664,,Dergaon,,Fell,93.86667,26.68333,Point,12500,Valid,H5,26.683330,93.866670,2001-01-01T00:00:00.000
6693,,Desuri,,Fell,73.61667,25.73333,Point,25400,Valid,H6,25.733330,73.616670,1962-01-01T00:00:00.000
6694,,Devgaon,,Fell,81.0,19.0,Point,12000,Valid,H3.8,19.000000,81.000000,2001-01-01T00:00:00.000
6696,,Devri-Khera,,Fell,76.525,24.225,Point,1140,Valid,L6,24.225000,76.525000,1994-01-01T00:00:00.000
6698,,Dhajala,,Fell,71.42722,22.37778,Point,45000,Valid,H3.8,22.377780,71.427220,1976-01-01T00:00:00.000
6699,,Dharwar,,Fell,75.6,14.88333,Point,1800,Valid,OC,14.883330,75.600000,1848-01-01T00:00:00.000
7640,,Dhurmsala,,Fell,76.46667,32.23333,Point,32000,Valid,LL6,32.233330,76.466670,1860-01-01T00:00:00.000
47350,,Didim,,Fell,27.32997,37.35172,Point,3396,Valid,H3-5,37.351720,27.329970,2007-01-01T00:00:00.000
7642,,Diep River,,Fell,18.56667,-33.75,Point,1000,Valid,L6,-33.750000,18.566670,1906-01-01T00:00:00.000
7649,,Distrito Quebracho,,Fell,-60.46667,-31.88333,Point,400,Valid,H4,-31.883330,-60.466670,1957-01-01T00:00:00.000
7652,,Djati-Pengilon,,Fell,111.5,-7.5,Point,166000,Valid,H6,-7.500000,111.500000,1884-01-01T00:00:00.000
7656,,Djermaia,,Fell,15.05,12.73333,Point,3950,Valid,H,12.733330,15.050000,1961-01-01T00:00:00.000
7657,,Djoumine,,Fell,9.55,36.95,Point,10000,Valid,H5-6,36.950000,9.550000,1999-01-01T00:00:00.000
7658,,Dokachi,,Fell,90.33333,23.5,Point,3840,Valid,H5,23.500000,90.333330,1903-01-01T00:00:00.000
7659,,Dolgovoli,,Fell,25.3,50.75,Point,1600,Valid,L6,50.750000,25.300000,1864-01-01T00:00:00.000
7661,,Domanitch,,Fell,29.0,40.0,Point,438,Valid,L5,40.000000,29.000000,1907-01-01T00:00:00.000
7706,,Dong Ujimqin Qi,,Fell,119.03333,45.5,Point,128800,Valid,Mesosiderite,45.500000,119.033330,1995-01-01T00:00:00.000
7707,,Donga Kohrod,,Fell,82.45,21.86667,Point,230,Valid,H6,21.866670,82.450000,1899-01-01T00:00:00.000
7708,,Dongtai,,Fell,120.78333,32.91667,Point,5500,Valid,LL6,32.916670,120.783330,1970-01-01T00:00:00.000
7718,,Doroninsk,,Fell,112.3,51.2,Point,3891,Valid,H5-7,51.200000,112.300000,1805-01-01T00:00:00.000
7722,,Dosso,,Fell,3.16667,13.05,Point,1250,Valid,L6,13.050000,3.166670,1962-01-01T00:00:00.000
7723,,Douar Mghila,,Fell,-6.3,32.33333,Point,1161,Valid,LL6,32.333330,-6.300000,1932-01-01T00:00:00.000
7725,,Dowa,,Fell,33.91667,-13.66667,Point,642,Valid,Stone-uncl,-13.666670,33.916670,1976-01-01T00:00:00.000
7728,39,Drake Creek,2115,Fell,-86.5,36.4,Point,5000,Valid,L6,36.400000,-86.500000,1827-01-01T00:00:00.000
7731,,Dresden (Ontario),,Fell,-82.26,42.52,Point,47700,Valid,H6,42.520000,-82.260000,1939-01-01T00:00:00.000
7736,,Dubrovnik,,Fell,18.44167,42.45833,Point,1900,Valid,L3-6,42.458330,18.441670,1951-01-01T00:00:00.000
7743,,Dunbogan,,Fell,152.83333,-31.66667,Point,30,Valid,L6,-31.666670,152.833330,1999-01-01T00:00:00.000
7745,,Dundrum,,Fell,-8.03333,52.55,Point,2270,Valid,H5,52.550000,-8.033330,1865-01-01T00:00:00.000
7749,,Dunhua,,Fell,128.25,43.33333,Point,,Valid,Stone-uncl,43.333330,128.250000,1976-01-01T00:00:00.000
7750,,Durala,,Fell,76.63333,30.3,Point,13200,Valid,L6,30.300000,76.633330,1815-01-01T00:00:00.000
7752,,Duruma,,Fell,39.5,-4.0,Point,577,Valid,L6,-4.000000,39.500000,1853-01-01T00:00:00.000
7754,,Duwun,,Fell,127.26667,33.43333,Point,2117,Valid,L6,33.433330,127.266670,1943-01-01T00:00:00.000
7755,,Dwaleni,,Fell,31.31667,-27.2,Point,3230,Valid,H4-6,-27.200000,31.316670,1970-01-01T00:00:00.000
7757,,Dyalpur,,Fell,82.0,26.25,Point,300,Valid,Ureilite,26.250000,82.000000,1872-01-01T00:00:00.000
7758,,Dyarrl Island,,Fell,151.0,-3.0,Point,188,Valid,Mesosiderite-A1,-3.000000,151.000000,1933-01-01T00:00:00.000
7760,19,Eagle,462,Fell,-96.47167,40.78167,Point,10000,Valid,EL6,40.781670,-96.471670,1947-01-01T00:00:00.000
7774,,Ehole,,Fell,15.83333,-17.3,Point,2400,Valid,H5,-17.300000,15.833330,1961-01-01T00:00:00.000
7775,,Eichstädt,,Fell,11.21667,48.9,Point,3000,Valid,H5,48.900000,11.216670,1785-01-01T00:00:00.000
7776,,Ekeby,,Fell,13.0,56.03333,Point,3336,Valid,H4,56.033330,13.000000,1939-01-01T00:00:00.000
7777,,Ekh Khera,,Fell,78.78333,28.26667,Point,840,Valid,H6,28.266670,78.783330,1916-01-01T00:00:00.000
7807,,El Idrissia,,Fell,3.25,34.41667,Point,10000,Valid,L6,34.416670,3.250000,1989-01-01T00:00:00.000
45977,,El Paso de Aguila,,Fell,-97.37,25.37,Point,17226,Valid,H5,25.370000,-97.370000,1977-01-01T00:00:00.000
7819,,El Tigre,,Fell,-103.05167,19.96722,Point,5000,Valid,L6,19.967220,-103.051670,1993-01-01T00:00:00.000
7822,9,Elbert,88,Fell,-104.58817,39.24667,Point,680.5,Valid,LL6,39.246670,-104.588170,1998-01-01T00:00:00.000
7823,,Elbogen,,Fell,12.73333,50.18333,Point,107000,Valid,"Iron, IID",50.183330,12.733330,1400-01-01T00:00:00.000
7824,,Elenovka,,Fell,37.66667,47.83333,Point,54640,Valid,L5,47.833330,37.666670,1951-01-01T00:00:00.000
10019,,Ellemeet,,Fell,4.0,51.75,Point,1470,Valid,Diogenite,51.750000,4.000000,1925-01-01T00:00:00.000
10033,,Emmaville,,Fell,151.61667,-29.46667,Point,127,Valid,Eucrite-mmict,-29.466670,151.616670,1900-01-01T00:00:00.000
10038,,Enshi,,Fell,109.5,30.3,Point,8000,Valid,H5,30.300000,109.500000,1974-01-01T00:00:00.000
10039,,Ensisheim,,Fell,7.35,47.86667,Point,127000,Valid,LL6,47.866670,7.350000,1492-01-01T00:00:00.000
10041,,Épinal,,Fell,6.46667,48.18333,Point,277,Valid,H5,48.183330,6.466670,1822-01-01T00:00:00.000
10042,,Erakot,,Fell,81.89167,19.03333,Point,113,Valid,CM2,19.033330,81.891670,1940-01-01T00:00:00.000
10043,,Erevan,,Fell,44.5,40.3,Point,107.2,Valid,Howardite,40.300000,44.500000,1911-01-01T00:00:00.000
10044,,Ergheo,,Fell,44.16667,1.16667,Point,20000,Valid,L5,1.166670,44.166670,1889-01-01T00:00:00.000
10049,,Erxleben,,Fell,11.25,52.21667,Point,2250,Valid,H6,52.216670,11.250000,1812-01-01T00:00:00.000
10051,,Esnandes,,Fell,-1.1,46.25,Point,1500,Valid,L6,46.250000,-1.100000,1837-01-01T00:00:00.000
10055,,Essebi,,Fell,30.83333,2.88333,Point,500,Valid,C2-ung,2.883330,30.833330,1957-01-01T00:00:00.000
10059,16,Estherville,277,Fell,-94.83333,43.41667,Point,320000,Valid,Mesosiderite-A3/4,43.416670,-94.833330,1879-01-01T00:00:00.000
10074,17,Farmington,1300,Fell,-97.03333,39.75,Point,89400,Valid,L5,39.750000,-97.033330,1890-01-01T00:00:00.000
10075,37,Farmville,2439,Fell,-77.53333,35.55,Point,56000,Valid,H4,35.550000,-77.533330,1934-01-01T00:00:00.000
10078,,Favars,,Fell,2.81667,44.38333,Point,1500,Valid,H5,44.383330,2.816670,1844-01-01T00:00:00.000
10079,15,Fayetteville,70,Fell,-94.16667,36.05,Point,2360,Valid,H4,36.050000,-94.166670,1934-01-01T00:00:00.000
10080,,Feid Chair,,Fell,8.45,36.88333,Point,380,Valid,H4,36.883330,8.450000,1875-01-01T00:00:00.000
10081,29,Felix,1631,Fell,-87.16667,32.53333,Point,3200,Valid,CO3.3,32.533330,-87.166670,1900-01-01T00:00:00.000
10086,,Fenghsien-Ku,,Fell,116.75,34.6,Point,82,Valid,H5,34.600000,116.750000,1924-01-01T00:00:00.000
10088,37,Ferguson,2331,Fell,-81.41667,36.1,Point,220,Valid,OC,36.100000,-81.416670,1889-01-01T00:00:00.000
10091,,Fermo,,Fell,13.75333,43.18111,Point,10200,Valid,H3-5,43.181110,13.753330,1996-01-01T00:00:00.000
10107,1,Fisher,385,Fell,-96.85,47.81667,Point,17600,Valid,L6,47.816670,-96.850000,1894-01-01T00:00:00.000
10111,23,Florence,807,Fell,-97.76667,30.83333,Point,3640,Valid,H3,30.833330,-97.766670,1922-01-01T00:00:00.000
10119,16,Forest City,1785,Fell,-93.66667,43.25,Point,152000,Valid,H5,43.250000,-93.666670,1890-01-01T00:00:00.000
